,ingredients,explanation,reference
13925,methoxyphenyl-methylbutanone,['ExplainedMethoxyphenyl-Methylbutanone is a fragrance.'],[]
13926,methoxytrimethylheptanol,['ExplainedMethoxytrimethylheptanol is a fragrance.'],[]
13927,methyl-aminolevulinate-hcl,['ExplainedMethyl Aminolevulinate Hcl is an antioxidant.'],[]
13928,methyl-capryloyl-tyrosinate,"[""ExplainedWe don't have a description for Methyl Capryloyl Tyrosinate.""]",[]
13929,methyl-epoxidized-soyate,"[""ExplainedWe don't have a description for Methyl Epoxidized Soyate.""]",[]
13930,methyl-glucose-isostearate,"[""ExplainedWe don't have a description for Methyl Glucose Isostearate.""]",[]
13931,methyl-hesperidin,"[""ExplainedWe don't have a description for Methyl Hesperidin.""]",[]
13932,methyl-acrylate-methylene-drometrizole-methacrylate-copolymer,"[""ExplainedWe don't have a description for Methyl Acrylate/Methylene Drometrizole Methacrylate Copolymer.""]",[]
13933,methyl-behenate,"[""ExplainedWe don't have a description for Methyl Behenate.""]",[]
13934,methyl-benzoylformate,"[""ExplainedWe don't have a description for Methyl Benzoylformate.""]",[]
13935,methyl-caproate,['ExplainedMethyl Caproate is a fragrance.'],[]
13936,methyl-cyclohexylacetate,"[""ExplainedWe don't have a description for Methyl Cyclohexylacetate.""]",[]
13937,methyl-dehydroabietate,"[""ExplainedWe don't have a description for Methyl Dehydroabietate.""]",[]
13938,methyl-dimethyl-octenylideneamino-benzoate,['ExplainedMethyl Dimethyl-Octenylideneamino-Benzoate is a fragrance.'],[]
13939,methyl-formylaminobenzoate,['ExplainedMethyl Formylaminobenzoate is a fragrance.'],[]
13940,methyl-glucose-sesquioleate,"[""ExplainedWe don't have a description for Methyl Glucose Sesquioleate.""]",[]
13941,sodium-propylparaben,['ExplainedSodium Propylparaben is a preservative and is a paraben.'],[]
13942,methyl-stearic-acid,"[""ExplainedWe don't have a description for Methyl Stearic Acid.""]",[]
13943,methyl-myristic-acid,"[""ExplainedWe don't have a description for Methyl Myristic Acid.""]",[]
13944,methyl-linoleate,"[""ExplainedMethyl Linoleate is a fragrance and isn't fungal acne safe.""]",[]
13945,dilinoleic-acid-propanediol-copolymer,"[""ExplainedWe don't have a description for Dilinoleic Acid/Propanediol Copolymer.""]",[]
13946,methyl-methylvalerate,['ExplainedMethyl Methylvalerate is a fragrance.'],[]
13947,methyl-octine-carbonate,['ExplainedMethyl Octine Carbonate is a fragrance.'],[]
13948,methyl-glucose-sesquicocoate,"[""ExplainedWe don't have a description for Methyl Glucose Sesquicocoate.""]",[]
13949,methyl-glutamic-acid,"[""ExplainedWe don't have a description for Methyl Glutamic Acid.""]",[]
13950,methyl-hexyl-ether,['ExplainedMethyl Hexyl Ether is a fragrance.'],[]
13951,methyl-hydroxycetyl-glucaminium-lactate,"[""ExplainedWe don't have a description for Methyl Hydroxycetyl Glucaminium Lactate.""]",[]
13952,methyl-isopropyl-methylbicyclooctene-2-carboxylate,['ExplainedMethyl Isopropyl-Methylbicyclooctene-2-Carboxylate is a fragrance.'],[]
13953,methyl-tetrahydroazepinyl-ether,['ExplainedMethyl Tetrahydroazepinyl Ether is a fragrance.'],[]
13954,methyl-hydroxycinnamate,"[""ExplainedWe don't have a description for Methyl Hydroxycinnamate.""]",[]
13955,methyl-methacrylate-trimethoxysilylpropyl-methacrylate-crosspolymer,['ExplainedMethyl Methacrylate/Trimethoxysilylpropyl Methacrylate Crosspolymer is an antioxidant.'],[]
13956,methyl-hexyl-cyclopentanone-carboxylate,['ExplainedMethyl Hexyl Cyclopentanone Carboxylate is a fragrance.'],[]
13957,methyl-methacrylate-acrylonitrile-copolymer,"[""ExplainedWe don't have a description for Methyl Methacrylate/Acrylonitrile Copolymer.""]",[]
13958,methyl-methacrylate-vinylbenzylamino-methylcoumarin-glycol-dimethacrylate-crosspolymer,"[""ExplainedWe don't have a description for Methyl Methacrylate/Vinylbenzylamino Methylcoumarin/Glycol Dimethacrylate Crosspolymer.""]",[]
13959,methyl-octadecatrienoate,['ExplainedMethyl Octadecatrienoate is a fragrance.'],[]
13960,methyl-phenylmethyleneaminobenzoate,['ExplainedMethyl Phenylmethyleneaminobenzoate is a fragrance.'],[]
13961,methyl-hydroxyphenylbutylaminobenzoate,['ExplainedMethyl Hydroxyphenylbutylaminobenzoate is a fragrance.'],[]
13962,methyl-travoprost,"[""ExplainedWe don't have a description for Methyl Travoprost.""]",[]
13963,methyl-methylpropyl-cyclohexyl-acetate,['ExplainedMethyl-Methylpropyl-Cyclohexyl Acetate is a fragrance.'],[]
13964,methyl-oleate-palmitate-linoleate-stearate,"[""ExplainedWe don't have a description for Methyl Oleate/Palmitate/Linoleate/Stearate.""]",[]
13965,methyl-pelargonate,['ExplainedMethyl Pelargonate is a fragrance.'],[]
13966,methyl-phenylbutanol,['ExplainedMethyl Phenylbutanol is a fragrance.'],[]
13967,methyl-pyrazinyl-ketone,['ExplainedMethyl Pyrazinyl Ketone is a fragrance.'],[]
13968,methyl-trimethylhexylidene-aminobenzoate,['ExplainedMethyl Trimethylhexylidene-Aminobenzoate is a fragrance.'],[]
13969,methyl-methylcyclohexenyl-heptadiene,['ExplainedMethyl-Methylcyclohexenyl-Heptadiene is a fragrance.'],[]
13970,methylamido-cellulose-gum,"[""ExplainedWe don't have a description for Methylamido Cellulose Gum.""]",[]
13971,methyl-propionate,['ExplainedMethyl Propionate is a fragrance.'],[]
13972,methyl-rosinate,['ExplainedMethyl Rosinate is a fragrance.'],[]
13973,methyl-trans-1-4-dimethyl-cyclohexanecarboxylate,"['ExplainedMethyl Trans-1,4-Dimethyl-Cyclohexanecarboxylate is a fragrance.']",[]
13974,methyl-valerate,['ExplainedMethyl Valerate is a fragrance.'],[]
13975,methyl-methylbicycloheptenyl-pentenol,['ExplainedMethyl-Methylbicycloheptenyl-Pentenol is a fragrance.'],[]
13976,methyl-methylthiopyrazine,['ExplainedMethyl-Methylthiopyrazine is a fragrance.'],[]
13977,methylbutylphenyl-hexyloxybenzoate,"[""ExplainedWe don't have a description for Methylbutylphenyl Hexyloxybenzoate.""]",[]
13978,methyl-thioglycolate,"[""ExplainedWe don't have a description for Methyl Thioglycolate.""]",[]
13979,methyl-vanillate,['ExplainedMethyl Vanillate is a fragrance.'],[]
13980,methyl-methylcyclohexenyl-ethyl-butyrate,['ExplainedMethyl-Methylcyclohexenyl-Ethyl Butyrate is a fragrance.'],[]
13981,methyl-methyloxocyclohexylethyl-ethanethioate,['ExplainedMethyl-Methyloxocyclohexylethyl Ethanethioate is a fragrance.'],[]
13982,methyl-tyrosinate-hcl,"[""ExplainedWe don't have a description for Methyl Tyrosinate Hcl.""]",[]
13983,methyl-octahydro-dimethylazulenylethyl-acetate,['ExplainedMethyl-Octahydro-Dimethylazulenylethyl Acetate is a fragrance.'],[]
13984,methylbenzethonium-chloride,"[""ExplainedWe don't have a description for Methylbenzethonium Chloride.""]",[]
13985,methylbicycloheptylpropyl-acetate,['ExplainedMethylbicycloheptylpropyl Acetate is a fragrance.'],[]
13986,methylbutylphenyl-decyloxybenzoate,"[""ExplainedWe don't have a description for Methylbutylphenyl Decyloxybenzoate.""]",[]
13987,methylcinnamonitrile,['ExplainedMethylcinnamonitrile is a fragrance.'],[]
13988,methyl-tryptophanate-hcl,"[""ExplainedWe don't have a description for Methyl Tryptophanate Hcl.""]",[]
13989,methyl-methylene-octadiene-alpha-terpineols,['ExplainedMethyl-Methylene-Octadiene Alpha-Terpineols is a fragrance.'],[]
13990,methyl-methylpentenylcyclohexene-1-carbaldehyde,['ExplainedMethyl-Methylpentenylcyclohexene-1-Carbaldehyde is a fragrance.'],[]
13991,sh-polypeptide-66,['ExplainedSh-Polypeptide-66 is an antioxidant and is a peptide.'],[]
13992,methylbutene-methylstyrene-piperylene-copolymer,"[""ExplainedWe don't have a description for Methylbutene/Methylstyrene/Piperylene Copolymer.""]",[]
13993,methylbutylphenyl-dodecyloxybenzoate,"[""ExplainedWe don't have a description for Methylbutylphenyl Dodecyloxybenzoate.""]",[]
13994,methylcyclopentadecanone,['ExplainedMethylcyclopentadecanone is a fragrance.'],[]
13995,methyldihydroxypropylamido-undecyl-decyl-dimethicone,['ExplainedMethyldihydroxypropylamido Undecyl Decyl Dimethicone is a type of silicone.'],[]
13996,methyl2-phenylmethyleneoctylideneamino-benzoate,['ExplainedMethyl2-Phenylmethyleneoctylideneamino Benzoate is a fragrance.'],[]
13997,methylbutylphenyl-heptylbiphenylcarboxylate,"[""ExplainedWe don't have a description for Methylbutylphenyl Heptylbiphenylcarboxylate.""]",[]
13998,methylglucose-dioleate-hydroxystearate,"[""ExplainedWe don't have a description for Methylglucose Dioleate/Hydroxystearate.""]",[]
13999,methylcyclohexenyl-butenyl-acetate,['ExplainedMethylcyclohexenyl-Butenyl Acetate is a fragrance.'],[]
14000,methylcyclotridecanone,['ExplainedMethylcyclotridecanone is a fragrance.'],[]
14001,methylenedioxyphenylsuccinoyl-nonapeptide-18,['ExplainedMethylenedioxyphenylsuccinoyl Nonapeptide-18 is a peptide.'],[]
14002,methylcyclohexanedione,['ExplainedMethylcyclohexanedione is a fragrance.'],[]
14003,methylbutylphenyl-octyloxybenzoate,"[""ExplainedWe don't have a description for Methylbutylphenyl Octyloxybenzoate.""]",[]
14004,methylcyclohexenyl-isopropyltrisiloxane,['ExplainedMethylcyclohexenyl Isopropyltrisiloxane is a type of silicone.'],[]
14005,methyleicosamidopropyl-ethyldimonium-ethosulfate,['ExplainedMethyleicosamidopropyl Ethyldimonium Ethosulfate is a type of sulfate.'],[]
14006,methylenebis-tallow-acetamidodimonium-chloride,"[""ExplainedWe don't have a description for Methylenebis Tallow Acetamidodimonium Chloride.""]",[]
14007,methylenedioxyphenylsuccinoyl-heptapeptide-16,['ExplainedMethylenedioxyphenylsuccinoyl Heptapeptide-16 is a peptide.'],[]
14008,methylinositol,"[""ExplainedWe don't have a description for Methylinositol.""]",[]
14009,methyloctanediyl-diacetate,['ExplainedMethyloctanediyl Diacetate is a fragrance.'],[]
14010,methylsilanol-carboxymethyl-theophylline,"[""ExplainedWe don't have a description for Methylsilanol Carboxymethyl Theophylline.""]",[]
14011,methylsilanol-spirulinate,"[""ExplainedWe don't have a description for Methylsilanol Spirulinate.""]",[]
14012,methylenedioxyphenyl-dihydroxybenzamide,['ExplainedMethylenedioxyphenyl Dihydroxybenzamide is an antioxidant.'],[]
14013,methyleugenyl-peg-8-dimethicone,['ExplainedMethyleugenyl Peg-8 Dimethicone is a type of silicone.'],[]
14014,methyloctenyl-acetate,['ExplainedMethyloctenyl Acetate is a fragrance.'],[]
14015,methylpentenyl-cyclohexene-1-methyl-acetate,['ExplainedMethylpentenyl-Cyclohexene-1-Methyl Acetate is a fragrance.'],[]
14016,methylphenoxy-acetaldehyde,['ExplainedMethylphenoxy-Acetaldehyde is a fragrance.'],[]
14017,methylsalicylatyl-glycyrrhetinate,"[""ExplainedWe don't have a description for Methylsalicylatyl Glycyrrhetinate.""]",[]
14018,methylheptanone,['ExplainedMethylheptanone is a fragrance.'],[]
14019,methylheptyl-palmitate,"[""ExplainedWe don't have a description for Methylheptyl Palmitate.""]",[]
14020,methylsilanol-acetylmethionate,"[""ExplainedWe don't have a description for Methylsilanol Acetylmethionate.""]",[]
14021,methylsilanol-glycyrrhizinate,"[""ExplainedWe don't have a description for Methylsilanol Glycyrrhizinate.""]",[]
14022,methylspermidine,"[""ExplainedWe don't have a description for Methylspermidine.""]",[]
14023,methylsulfonylpiperidinylamino-dioxothiomorpholinomethyl-phenylindole,['ExplainedMethylsulfonylpiperidinylamino Dioxothiomorpholinomethyl Phenylindole is an antioxidant.'],[]
14024,mevalonolactone,"[""ExplainedWe don't have a description for Mevalonolactone.""]",[]
14025,methylenedioxyphenyl-phenylbutanedione,"[""ExplainedWe don't have a description for Methylenedioxyphenyl Phenylbutanedione.""]",[]
14026,methylheptadienone,['ExplainedMethylheptadienone is a fragrance.'],[]
14027,myreth-2,"[""ExplainedWe don't have a description for Myreth-2.""]",[]
14028,methyloctyl-acetaldehyde,['ExplainedMethyloctyl Acetaldehyde is a fragrance.'],[]
14029,methylpentenyl-cyclopentenone,['ExplainedMethylpentenyl-Cyclopentenone is a fragrance.'],[]
14030,methylthiohexyl-isothiocyanate,"[""ExplainedWe don't have a description for Methylthiohexyl Isothiocyanate.""]",[]
14031,methyltrimethoxysilane,"[""ExplainedWe don't have a description for Methyltrimethoxysilane.""]",[]
14032,methylmethionine,"[""ExplainedWe don't have a description for Methylmethionine.""]",[]
14033,methylphenyl-1-3-dioxanol,"['ExplainedMethylphenyl-1,3-Dioxanol is a fragrance.']",[]
14034,methylstyrene-vinyltoluene-copolymer,"[""ExplainedWe don't have a description for Methylstyrene/Vinyltoluene Copolymer.""]",[]
14035,methylthiophenyl-morpholino-isobutanone,"[""ExplainedWe don't have a description for Methylthiophenyl Morpholino Isobutanone.""]",[]
14036,metschnikowia-henanensis-extract,"[""ExplainedWe don't have a description for Metschnikowia Henanensis Extract.""]",[]
14037,methylsilanol-elastinate,"[""ExplainedWe don't have a description for Methylsilanol Elastinate.""]",[]
14038,methylvaleric-acid,['ExplainedMethylvaleric Acid is a fragrance.'],[]
14039,mevalonoyl-tripeptide-35,['ExplainedMevalonoyl Tripeptide-35 is an antioxidant and is a peptide.'],[]
14040,michelia-longiflora-flower-extract,"[""ExplainedWe don't have a description for Michelia Longiflora Flower Extract.""]",[]
14041,milkamidopropyl-betaine,"[""ExplainedWe don't have a description for Milkamidopropyl Betaine.""]",[]
14042,mipa-myristate,"[""ExplainedWe don't have a description for Mipa-Myristate.""]",[]
14043,mevalonoyl-pentapeptide-37,['ExplainedMevalonoyl Pentapeptide-37 is an antioxidant and is a peptide.'],[]
14044,aspergillus-prunus-yedoensis-leaf-ferment-extract,"[""ExplainedWe don't have a description for Aspergillus/Prunus Yedoensis Leaf Ferment Extract.""]",[]
14045,myreth-4,"[""ExplainedWe don't have a description for Myreth-4.""]",[]
14046,minkamidopropylamine-oxide,"[""ExplainedWe don't have a description for Minkamidopropylamine Oxide.""]",[]
14047,melia-azadirachta-seed-extract,"[""ExplainedWe don't have a description for Melia Azadirachta Seed Extract.""]",[]
14048,mellisic-acid,"[""ExplainedWe don't have a description for Mellisic Acid.""]",[]
14049,mentha-aquatica-flower-leaf-stem-water,"[""ExplainedWe don't have a description for Mentha Aquatica Flower/Leaf/Stem Water.""]",[]
14050,melaleuca-leucadendron-cajaput-fruit-extract,['ExplainedMelaleuca Leucadendron Cajaput Fruit Extract can be good for be good for oily skin.'],[]
14051,mentha-arvensis-branch-leaf-extract,"[""ExplainedWe don't have a description for Mentha Arvensis Branch/Leaf Extract.""]",[]
14052,trifolium-pratense-flower,"[""ExplainedWe don't have a description for Trifolium Pratense Flower.""]",[]
14053,melissa-officinalis-callus-lysate,['ExplainedMelissa Officinalis Callus Lysate is an antioxidant.'],[]
14054,melozol-formate,['ExplainedMelozol Formate is a fragrance.'],[]
14055,melaleuca-teretifolia-branch-leaf-oil,['ExplainedMelaleuca Teretifolia Branch/Leaf Oil is a fragrance and is an oil. It can be good for be good for oily skin.'],[]
14056,mentha-arvensis-callus-lysate,['ExplainedMentha Arvensis Callus Lysate is an antioxidant.'],[]
14057,eriobotrya-japonica-seed-extract,"[""ExplainedWe don't have a description for Eriobotrya Japonica Seed Extract.""]",[]
14058,angelica-archangelica-callus-extract,"[""ExplainedWe don't have a description for Angelica Archangelica Callus Extract.""]",[]
14059,mentha-arvensis-leaf-stem-oil,['ExplainedMentha Arvensis Leaf/Stem Oil is an oil.'],[]
14060,mentha-cardiaca-herb-oil,['ExplainedMentha Cardiaca Herb Oil is a fragrance and is an oil.'],[]
14061,mentha-arvensis-flower-leaf-stem-extract,"[""ExplainedWe don't have a description for Mentha Arvensis Flower/Leaf/Stem Extract.""]",[]
14062,mentha-canadensis-branch-leaf-extract,"[""ExplainedWe don't have a description for Mentha Canadensis Branch/Leaf Extract.""]",[]
14063,melissa-officinalis-leaf-powder,"[""ExplainedWe don't have a description for Melissa Officinalis Leaf Powder.""]",[]
14064,mentha-piperita-american-herb-extract,['ExplainedMentha Piperita American Herb Extract is a fragrance.'],[]
14065,mentha-piperita-leaf-cell-extract,['ExplainedMentha Piperita Leaf Cell Extract is an antioxidant.'],[]
14066,mentha-citrata-leaf-extract,['ExplainedMentha Citrata Leaf Extract is a fragrance.'],[]
14067,mentha-spicata-crispa-herb-oil,['ExplainedMentha Spicata Crispa Herb Oil is a fragrance and is an oil.'],[]
14068,mentha-viridis-leaf-juice,"[""ExplainedWe don't have a description for Mentha Viridis Leaf Juice.""]",[]
14069,menthyl-isovalerate,['ExplainedMenthyl Isovalerate is a fragrance.'],[]
14070,menthyl-safflowerseedate,"[""ExplainedWe don't have a description for Menthyl Safflowerseedate.""]",[]
14071,mercurialis-perennis-extract,"[""ExplainedWe don't have a description for Mercurialis Perennis Extract.""]",[]
14072,mentha-arvensis-piperascens-herb-extract,['ExplainedMentha Arvensis Piperascens Herb Extract is a fragrance.'],[]
14073,mentha-canadensis-leaf-stem-oil,['ExplainedMentha Canadensis Leaf/Stem Oil is an oil.'],[]
14074,mentha-piperita-american-herb-oil,['ExplainedMentha Piperita American Herb Oil is a fragrance and is an oil.'],[]
14075,vitis-amurensis-root-extract,['ExplainedVitis Amurensis Root Extract is an antioxidant.'],[]
14076,lactobacillus-saccharomyces-cnidii-rhizoma-root-ferment-filtrate,['ExplainedLactobacillus/Saccharomyces/Cnidii Rhizoma Root Ferment Filtrate is an antioxidant.'],[]
14077,acetyl-sh-tetrapeptide-1,['ExplainedAcetyl Sh-Tetrapeptide-1 is a peptide.'],[]
14078,equisetum-hyemale-leaf-stem-extract,"[""ExplainedWe don't have a description for Equisetum Hyemale Leaf/Stem Extract.""]",[]
14079,mentha-pulegium-oil,['ExplainedMentha Pulegium Oil is an oil.'],[]
14080,mentha-herba-callus-culture-extract,"[""ExplainedWe don't have a description for Mentha Herba Callus Culture Extract.""]",[]
14081,menthane-carboxamidoethyl-acetate,"[""ExplainedWe don't have a description for Menthane Carboxamidoethyl Acetate.""]",[]
14082,mercurialis-annua-extract,"[""ExplainedWe don't have a description for Mercurialis Annua Extract.""]",[]
